,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
148,Captain Phillips, Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener,Action, Biography, Crime,107.10,PG-13 ,"472,877"
149,Big Hero 6, Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller,Animation, Action, Adventure,222.53,PG ,"476,031"
150,The Fugitive, Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore,Action, Crime, Drama,183.88,PG-13 ,"304,377"
151,Thirteen Lives, Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman,Action, Adventure, Biography,Nan,PG-13 ,"60,485"
152,The Fighter, Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo,Action, Biography, Drama,93.62,R ,"376,739"
153,How to Train Your Dragon 2, Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson,Animation, Action, Adventure,177.00,PG ,"347,230"
154,The Chaser, Kim Yoon-seok, Ha Jung-woo, Yeong-hie Seo, Kim Yoo-jeong,Action, Crime, Drama,Nan,Not Rated ,"69,129"
155,Ninja Scroll, Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka,Animation, Action, Adventure,Nan,Not Rated ,"38,827"
156,"Aguirre, the Wrath of God", Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro,Action, Adventure, Biography,Nan,Not Rated ,"59,072"
157,Batman: Mask of the Phantasm, Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach,Animation, Action, Adventure,5.62,PG ,"53,452"
158,Cowboy Bebop: The Movie, Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera,Animation, Action, Crime,1.00,TV-14 ,"50,625"
159,Minnal Murali, Tovino Thomas, Guru Somasundaram, Aju Varghese, Baiju,Action, Comedy, Drama,Nan,TV-14 ,"31,039"
160,The Killer, Chow Yun-Fat, Danny Lee, Sally Yeh, Kong Chu,Action, Crime, Drama,Nan,R ,"49,559"
161,Knockin' on Heaven's Door, Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu,Action, Crime, Comedy,0.00,Not Rated ,"32,059"
162,Avatar: The Way of Water, Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang,Action, Adventure, Fantasy,659.68,PG-13 ,"382,265"
163,Kingsman: The Secret Service, Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine,Action, Adventure, Comedy,128.26,R ,"685,681"
164,Black Hawk Down, Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana,Action, Drama, History,108.64,R ,"406,810"
165,Mission: Impossible - Fallout, Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg,Action, Adventure, Thriller,220.16,PG-13 ,"344,522"
166,3:10 to Yuma, Russell Crowe, Christian Bale, Ben Foster, Logan Lerman,Action, Crime, Drama,53.61,R ,"320,039"
167,The Count of Monte Cristo, Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc,Action, Adventure, Drama,54.23,PG-13 ,"142,495"
168,The Dirty Dozen, Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes,Action, Adventure, War,45.30,Approved ,"76,003"
169,The Last of the Mohicans, Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig,Action, Adventure, Drama,75.51,R ,"177,375"
170,Goldfinger, Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton,Action, Adventure, Thriller,51.08,PG ,"195,528"
171,Man on Fire, Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell,Action, Crime, Drama,77.91,R ,"371,771"
172,Training Day, Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger,Action, Crime, Drama,76.63,R ,"449,836"
173,The Lego Movie, Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett,Animation, Action, Adventure,257.76,PG ,"368,647"
174,X-Men: First Class, James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon,Action, Sci-Fi,Nan,146.41,PG-13 ,"704,449"
175,First Blood, Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney,Action, Adventure, Thriller,47.21,R ,"262,082"
176,The Magnificent Seven, Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach,Action, Adventure, Drama,4.91,Approved ,"98,178"
177,Star Trek Into Darkness, Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch,Action, Adventure, Sci-Fi,228.78,PG-13 ,"489,118"
178,The Boondock Saints, Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco,Action, Thriller,Nan,0.03,R ,"243,324"
179,Kung Fu Hustle, Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung,Action, Comedy, Fantasy,17.11,R ,"144,335"
180,Dirty Harry, Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni,Action, Crime, Thriller,35.90,R ,"161,604"
181,Star Trek II: The Wrath of Khan, William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan,Action, Adventure, Sci-Fi,78.91,PG ,"125,134"
182,The Bourne Supremacy, Matt Damon, Franka Potente, Joan Allen, Brian Cox,Action, Mystery, Thriller,176.24,PG-13 ,"473,254"
183,The Longest Day, John Wayne, Robert Ryan, Richard Burton, Henry Fonda,Action, Drama, History,39.10,G ,"57,392"
184,Bonnie and Clyde, Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman,Action, Biography, Crime,Nan,R ,"116,409"
185,The French Connection, Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco,Action, Crime, Drama,15.63,R ,"127,516"
186,Badlands, Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri,Action, Crime, Drama,Nan,PG ,"75,253"
187,Ponniyin Selvan: Part I, Vikram, Aishwarya Rai Bachchan, Jayam Ravi, Karthi,Action, Adventure, Drama,Nan,Not Rated ,"33,494"
188,Kubo and the Two Strings, Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes,Animation, Action, Adventure,48.02,PG ,"133,520"
189,Run Lola Run, Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri,Action, Crime, Thriller,7.27,R ,"202,264"
190,Key Largo, Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore,Action, Crime, Drama,Nan,Not Rated ,"42,491"
191,The Man from Nowhere, Won Bin, Kim Sae-ron, Kim Tae-hoon, Kim Hee-won,Action, Crime, Drama,0.01,R ,"71,902"
192,Hard Boiled, Chow Yun-Fat, Tony Leung Chiu-wai, Teresa Mo, Philip Chan,Action, Crime, Thriller,Nan,R ,"52,096"
193,Scarface, Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins,Action, Crime, Drama,Nan,PG ,"29,068"
194,Joint Security Area, Lee Yeong-ae, Lee Byung-hun, Song Kang-ho, Kim Tae-woo,Action, Drama, Thriller,Nan,Not Rated ,"32,152"
195,Dragon Ball Super: Broly, Masako Nozawa, Aya Hisakawa, Ryô Horikawa, Toshio Furukawa,Animation, Action, Adventure,30.71,PG ,"29,405"
196,Eega, Sudeep, Nani, Samantha Ruth Prabhu, Hamsa Nandini,Action, Comedy, Drama,Nan,Not Rated ,"25,929"
197,Raazi, Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma,Action, Drama, Thriller,Nan,Not Rated ,"32,248"
198,Udta Punjab, Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh,Action, Crime, Drama,Nan,Not Rated ,"31,387"
199,Guy Ritchie's the Covenant, Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong,Action, Thriller, War,Nan,R ,"33,730"
200,Guardians of the Galaxy Vol, Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel,Action, Adventure, Comedy,389.81,PG-13 ,"712,359"
201,Sicario, Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal,Action, Crime, Drama,46.89,R ,"445,729"
202,The Fifth Element, Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm,Action, Adventure, Sci-Fi,63.54,PG-13 ,"485,685"
203,Deadpool 2, Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison,Action, Adventure, Comedy,324.59,R ,"604,409"
204,Star Wars: Episode III - Revenge of the Sith, Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson,Action, Adventure, Fantasy,380.26,PG-13 ,"811,183"
205,Watchmen, Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman,Action, Drama, Mystery,107.51,R ,"562,536"
206,Baby Driver, Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González,Action, Crime, Drama,107.83,R ,"565,807"
207,300, Gerard Butler, Lena Headey, David Wenham, Dominic West,Action, Drama,Nan,210.61,R ,"835,935"
208,The Warriors, Michael Beck, James Remar, Dorsey Wright, Brian Tyler,Action, Crime, Thriller,22.49,R ,"105,962"
209,Kick-Ass, Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown,Action, Comedy, Crime,48.07,R ,"574,901"
210,Train to Busan, Gong Yoo, Jung Yu-mi, Ma Dong-seok, Su-an Kim,Action, Horror, Thriller,2.13,Not Rated ,"234,238"
211,Incredibles 2, Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner,Animation, Action, Adventure,608.58,PG ,"309,071"
212,Kung Fu Panda, Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman,Animation, Action, Adventure,215.43,PG ,"488,109"
213,Zombieland, Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin,Action, Comedy, Horror,75.59,R ,"594,885"
214,Harry Potter and the Half-Blood Prince, Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon,Action, Adventure, Family,301.96,PG ,"563,604"
215,Minority Report, Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow,Action, Crime, Mystery,132.07,PG-13 ,"564,917"
